title,key
ManagedProperty & Websocket: NullPointerException ,MYFACES-4299
"h:form with prependId=""false"" causes findComponent to return null for valid clientId",MYFACES-4298
Client Side state / stateless views should not force session creation,MYFACES-4297
[perf] use DateTimeFormatter instead SimpleDateFormat and cache it,MYFACES-4296
Websocket doesn't work with wrapped ResponseWriter like PrimeFaces MoveScriptsToBottom,MYFACES-4295
Emoji characters are filtered in ajax requests,MYFACES-4294
NumberConverter.getAsObject returns Long values for BigInteger attributes,MYFACES-4293
String Out of Bounds Exception Thrown,MYFACES-4292
2 duplicate functions in _Dom.js,MYFACES-4291
[perf] Remove commons digester,MYFACES-4290
404 Resource Errors after MyFaces-4270,MYFACES-4289
Tag <f:websocket> not working as expected,MYFACES-4288
Unable to restore view which contains a stateless template,MYFACES-4287
NullPointerException in TagAttribute.impl caused by MYFACEs-4099,MYFACES-4286
NullPointerException because of 4099,MYFACES-4285
ClassNotFoundException during initialization,MYFACES-4284
[perf] UIForm#invokeOnComponent with prependId=true,MYFACES-4283
Incompatibility with DeltaSpike JSF Module 1.x,MYFACES-4282
tag parsing error,MYFACES-4281
CSP: nonce attribute on script tags will be ignored on ajax updates,MYFACES-4280
inputText: lack of user input validation (maxlength),MYFACES-4279
[perf] use cached RuntimeConfig in the ApplicationImpl,MYFACES-4278
[perf] cache if view is protected,MYFACES-4277
[perf] cache derived viewId,MYFACES-4276
[perf] optimize TagAttributesImpl access,MYFACES-4275
"Lookup ExpressionFactory, also if SUPPORT_JSP_AND_FACES_EL is false",MYFACES-4274
JarFile never released in oam.view.facelets.util.ClassPath,MYFACES-4273
[perf] avoid FormInfo instances,MYFACES-4272
[perf] DefaultViewHandlerSupport cache is not always used,MYFACES-4271
Exact mapping doesn't work correctly,MYFACES-4270
[perf] getServletRegistrations is slow and not cached,MYFACES-4269
"Opening a dynamic dialog from a command with resetAttributes=""true"" makes a duplicated POST request.",MYFACES-4268
transient attribute is not inherited from template to final page.,MYFACES-4267
Ajax update fails due to invalid characters in response XML (DoS),MYFACES-4266
Remove old IE6 (and older) workarounds,MYFACES-4265
Remove Tomhawk & Trinidad code from old shaded code,MYFACES-4264
Remove unused context params,MYFACES-4263
MyFaces 2.3+ should import correct javax.servlet packages in OSGi,MYFACES-4262
[perf] use char instead of string for single char concatenation,MYFACES-4261
Context map from CDI ViewScope is not being cleared at destroy time,MYFACES-4260
Merge Test to Impl,MYFACES-4259
Merge Shared and Shared Public to Impl,MYFACES-4258
[mem] remove collected CDI type infos in AfterDeploymentValidation,MYFACES-4257
JSF3: Remove 1.x ViewHandler support,MYFACES-4256
JSF3: Remove Faces EL,MYFACES-4255
